# beat|mode|scene|action|camera|light|mood|search (source:terms;source:terms)
# modes: F archival film, P archival photo, S modern stock, G graphic board, B AI b&w, C AI colour, R AI cinematic recreation
65|B|1960s: a full set of leather-bound encyclopedias with gold-tooled spines lined along a living room bookshelf, no readable lettering|camera slides along the spines|CU|WIN|PRIDE|
66|G|Cream graph-paper board, cut-out installment coupon book with label $ EVERY MONTH|coupon pages flip|TOP|||
67|C|a proud 1960s father placing the last encyclopedia volume on a living room shelf while his family watches|he slides the book into place|MS|TUNG|PRIDE|
68|C|a 1960s boy doing homework at the dining table with a big open encyclopedia, his father leaning over to point at a page|the father points at the page|MS|TUNG|NOS|
69|P|children reading books together|slow push-in|MS|WIN|NOS|fsa:children reading;loc:children reading books
70|C|a 1960s mother tucking a book under her daughter's arm at the front door before school|she waves goodbye|MS|DAY|HOPE|
71|G|Cream graph-paper board, label COMMISSION ONLY with a small house icon popping up beside it|house icon pops|TOP|||
72|C|a 1960s salesman and his wife standing in front of their own new house holding up the keys|he holds up the keys|WS|DAY|PRIDE|
73|S|a beige retro personal computer on a desk|slow push-in on the screen|MS|TUNG|COLD|pexels:retro computer;prelinger:computer
74|R|1990s: a teenager at a beige desktop computer sliding in a disc, the monitor glow on the wall, a shelf of dusty encyclopedias behind him|he slides the disc into the drive|OTS|NIGHT|COLD|
75|G|Cream graph-paper board, stamp 1996 — DOOR-TO-DOOR SALES FORCE DISMISSED|stamp thumps down|TOP|||
76|G|Cream graph-paper board, timeline 1768 → 2012 with label 244 YEARS, then LAST PRINT EDITION|timeline draws left to right|TOP|||
77|S|a hand scrolling through an article on a smartphone|thumb scrolls|CU|WIN|COLD|pexels:scrolling phone;pexels:reading on smartphone
78|G|Grey graph-paper board, giant semi-transparent #22, curved label INSURANCE DEBIT MAN arcing over a cut-out small premium receipt book|number slams in, book slides in|TOP|||
79|P|working-class row houses at dusk|slow pan along the houses|WS|DUSK|NOS|fsa:row houses;fsa:working class neighborhood
80|B|1950s: a hand knocking on a wooden front door with a small glass window|knuckles rap on the door|CU|DUSK|NOS|
81|C|1950s: an insurance man in a trench coat and fedora with a leather satchel on a front stoop as a housewife opens the door|he tips his hat|MS|DUSK|NOS|
82|C|1950s: an insurance man seated at a kitchen table chatting with an elderly couple, coffee cups between them|he laughs with them|MS|TUNG|NOS|
83|G|Cream graph-paper board, calendar page EVERY WEEK and falling coin icons 25¢ and 50¢|coins drop in|TOP|||
84|B|1950s: a hand writing a small entry in a worn premium receipt book on an oilcloth kitchen table, coins stacked beside it|the pencil writes|CU|TUNG|NOS|
85|C|1950s: a mother tucking a small receipt book into a kitchen drawer beside the flatware|she slides the drawer shut|MS|TUNG|NOS|
86|P|an insurance agent visiting a family at their home|slow push-in|MS|DAY|NOS|fsa:insurance agent;loc:insurance agent
87|C|1950s: an insurance man walking his route along a tree-lined street of wooden houses, satchel over his shoulder|he walks away down the sidewalk|BACK|DAY|NOS|
88|B|1950s: an insurance man on a porch talking with a family, children hanging on the railing|the children wave|WS|DAY|NOS|
89|C|1950s: a young mother on a porch showing her newborn baby to the insurance man|he smiles down at the baby|MS|DAY|NOS|
90|P|mourners at a small-town funeral|slow push-in|MS|OVC|GRIEF|fsa:funeral;loc:funeral
91|B|1950s: an insurance man in a dark suit at the door of a grieving household, hat held against his chest|he lowers his head|MS|OVC|GRIEF|
92|B|1950s: a man's hand passing an envelope into a widow's hand at a doorway|the envelope passes between their hands|CU|OVC|GRIEF|
93|C|1950s: an insurance man mowing the lawn of his own modest house on a Saturday, his wife on the porch|he pushes the mower|WS|DAY|PRIDE|
94|G|Cream graph-paper board, cut-out pay stub with label PAYROLL DEDUCTION|stub slides in|TOP|||
95|F|1950s: a bank teller window, customers depositing checks|the teller stamps a slip|MS|FLUOR|COLD|prelinger:bank;prelinger:checking account
96|R|1970s: insurance executives around a conference table reviewing a chart of rising costs|a man pushes a folder forward|OTS|FLUOR|COLD|
97|G|Cream graph-paper board, a hand-drawn route map of streets whose lines fade away one by one, label 1970s–1980s|route lines fade|TOP|||
98|B|1970s: an empty porch with a closed front door at dusk, nobody knocking|the porch light flickers on|MS|DUSK|GRIEF|
99|G|Grey graph-paper board, giant semi-transparent #21, curved label HATTER · DANBURY, CT arcing over a cut-out felt fedora|number slams in, hat slides in|TOP|||
100|P|a city crowd where every man wears a hat|slow push-in|WS|DAY|NOS|fsa:men in hats crowd;loc:crowd men hats
101|F|1940s: a busy downtown sidewalk, a sea of men in fedoras|the crowd moves past|WS|DAY|NOS|prelinger:crowd street 1940s;prelinger:city street
102|P|Danbury, Connecticut and its hat factories|slow push-in|WS|DAY|PRIDE|loc:Danbury Connecticut;loc:hat factory
103|G|Cream graph-paper board, label HAT CITY OF THE WORLD arcing over a pinned photo of the town|label arcs in|TOP|||
104|P|workers inside a hat factory|slow pan|MS|WIN|PRIDE|loc:hat factory;loc:hatters
105|B|1940s: a hat factory floor, workers shaping felt hat bodies on wooden blocks, steam rising|a worker presses a brim|MS|WIN|PRIDE|
106|C|1950s: a hatter coming home to a small clapboard house, his wife and two sons waiting on the steps|the sons run to meet him|WS|DUSK|NOS|
107|B|1950s: a father and teenage son side by side at a hat-making bench|the father shows the son how to steam a brim|MS|WIN|PRIDE|
108|P|hat makers at hard work in a factory|slow push-in|MS|WIN|TENSE|loc:hat makers at work;fsa:factory worker
109|B|1940s: hands working wet felt over a steaming bench, vapor rising|steam curls upward|CU|WIN|TENSE|
110|G|Grey graph-paper board, cut-out chemical symbol Hg with label MERCURY and a small warning mark|symbol pulses|TOP|||
111|B|1940s: an older hatter's trembling hands resting on a workbench beside his tools|his hands tremble slightly|CU|WIN|GRIEF|
112|F|1960s: a city sidewalk where young men walk bareheaded|the crowd walks past|WS|DAY|QUIET|prelinger:1960s street scene;prelinger:city street 1960s
113|C|1960s: young men with bare heads and short haircuts leaning against a low-roofed sedan|one of them laughs|MS|DAY|NOS|
114|C|1960s: an old felt hat left on a coat rack in a hallway, gathering dust|dust drifts in the light|CU|WIN|GRIEF|
115|B|1960s: an empty hat factory floor with idle wooden blocks and shelves of unsold hats|light falls through dusty windows|WS|WIN|GRIEF|
116|G|Cream graph-paper board, stamp 1987 — LAST FACTORY CLOSED|stamp thumps down|TOP|||
117|S|an old brick factory building in a New England town today|slow pan|WS|OVC|STARK|pexels:old brick factory;wiki:Danbury hat factory
118|B|1960s: a single felt fedora lying on an empty factory floor in a shaft of light|slow push-in|CU|WIN|GRIEF|
119|G|Grey graph-paper board, giant semi-transparent #20, curved label MOVIE PROJECTIONIST arcing over a cut-out film reel|number slams in, reel spins in|TOP|||
120|B|1950s: a narrow stair leading up to a projection booth door behind a movie theater balcony|slow push up the stairs|LOW|TUNG|QUIET|
121|P|a projectionist inside his booth|slow push-in|MS|BOOTH|NOS|fsa:projectionist;loc:motion picture projectionist
122|B|1950s: a projectionist threading 35mm film through a large projector in a dark booth, hands in focus|he threads the film|CU|BOOTH|NOS|
123|C|1950s: a movie screen seen through the small booth window, a bright beam of light cutting through the haze of the auditorium|the beam flickers|OTS|BOOTH|NOS|
124|B|1950s: a projectionist watching the screen through a small port window, his hand ready on the changeover switch|he watches intently|OTS|BOOTH|TENSE|
125|F|film running through a projector, reels spinning|the reels spin|CU|BOOTH|NOS|prelinger:projector;prelinger:movie projection
126|P|a packed 1950s movie audience|slow push-in|WS|BOOTH|NOS|loc:movie theater audience;fsa:movie theater
127|G|Cream graph-paper board, label SKILLED TRADE · UNION arcing over a pinned photo of a projection booth|label slides in|TOP|||
128|C|1950s: a projectionist in shirtsleeves leaving the theater's back door at night, lunchbox in hand|he walks away down the alley|BACK|NIGHT|NOS|
129|C|1950s: a small family house at night with a single porch light left on|the front door opens|WS|NIGHT|NOS|
130|B|1950s: a projectionist climbing the dark booth stairs with a film canister under his arm|he climbs|BACK|BOOTH|QUIET|
131|P|a movie theater lit up at night|slow push-in|WS|NIGHT|NOS|fsa:movie theater night;loc:theater marquee night
132|B|1950s: a projectionist alone in his booth, a silhouette against the bright port window, arms folded proudly|he stands still as the beam flickers|MS|BOOTH|PRIDE|
133|F|1950s: a theater audience laughing at a film|the audience laughs|WS|BOOTH|NOS|prelinger:movie audience;prelinger:theater audience
134|R|1980s: a multiplex projection room with a long row of automated projectors and film platters, one young worker walking between them|he walks down the row|WS|FLUOR|COLD|
135|S|a modern digital cinema projector|slow push-in|MS|BOOTH|COLD|pexels:digital cinema projector;pexels:movie theater projector
136|G|Grey graph-paper board, stamp 2013 — FILM PRINTS END over a cut-out film can|stamp thumps down|TOP|||
137|R|2010s: a darkened projection booth with one sleek digital projector and a laptop, old film reels stacked in a corner|a finger presses a button|CU|BOOTH|COLD|
138|S|a modern cinema audience watching a film|slow push-in|WS|BOOTH|QUIET|pexels:cinema audience;pexels:movie theater audience
139|B|1960s: an abandoned projection booth, dusty projector, film strips hanging, light leaking through the port window|dust drifts through the beam|WS|BOOTH|GRIEF|
140|G|Grey graph-paper board, giant semi-transparent #19, curved label SERVICE STATION MAN arcing over a cut-out vintage gas pump with no logo|number slams in, pump slides in|TOP|||
141|P|a small-town gas station|slow push-in|WS|DAY|NOS|fsa-color:gas station;fsa:filling station
142|F|1950s: a car pulling into a service station, the attendant running out|the attendant jogs to the car|WS|DAY|NOS|prelinger:service station;prelinger:gas station attendant
143|C|1960s: a service station attendant in a pressed uniform and cap jogging out to a family sedan|he jogs toward the car|MS|DAY|NOS|
144|B|1960s: an attendant pumping gas into a sedan while checking the dipstick under the raised hood|he wipes the dipstick|MS|DAY|NOS|
145|C|1960s: an attendant washing a windshield with a squeegee while children in the back seat watch|the squeegee sweeps across the glass|OTS|DAY|NOS|
146|F|1950s: an attendant kneeling to check a car's tire pressure|he kneels at the tire|CU|DAY|NOS|prelinger:gas station service;prelinger:service station
147|P|a family-run filling station with the owner out front|slow push-in|WS|DAY|NOS|fsa:gas station family;fsa-color:filling station
148|B|1960s: a mechanic in coveralls under the hood of a car in a small service bay, tools hanging on the wall|he tightens a bolt|MS|TUNG|PRIDE|
149|C|1960s: a mechanic chatting with a family at the pump, handing a lollipop to a small child|he hands over the lollipop|MS|DAY|NOS|
150|C|1960s: a service station owner and his wife in front of their small house next to the station|they stand proudly together|WS|DUSK|PRIDE|
151|G|Cream graph-paper board, three icons pop in a row HOUSE • SCHOOL • RETIREMENT|icons pop|TOP|||
152|P|long lines of cars waiting at a gas station during the 1970s shortage|slow push-in|WS|DAY|TENSE|nara:gas line 1973;nara:DOCUMERICA gasoline shortage
153|R|1970s: a long line of cars queuing at a gas station, a driver drumming his fingers on the steering wheel|his fingers drum|OTS|DAY|TENSE|
154|R|1970s: a woman in a 1970s coat pumping her own gas at a self-service island|she lifts the nozzle|MS|DAY|COLD|
155|S|a modern self-service gas station at night|slow push-in|WS|NIGHT|COLD|pexels:gas station night;pexels:self service gas pump
156|S|a convenience store aisle|slow pan|MS|FLUOR|COLD|pexels:convenience store aisle
157|G|Cream graph-paper board, cut-out outline of New Jersey with label STILL FULL SERVICE|state outline pops|TOP|||
158|B|1960s: an empty service bay with a hanging work lamp and an old gas pump outside the open door|the lamp sways|WS|DUSK|GRIEF|
159|G|Grey graph-paper board, giant semi-transparent #18, curved label TV REPAIRMAN arcing over a cut-out 1960s console television|number slams in, TV slides in|TOP|||
160|B|1960s: a console television with a dark blank screen in a living room, a family standing around it looking worried|the father taps the set|MS|TUNG|TENSE|
161|C|1960s: a mother on a wall telephone in the kitchen calling for help|she dials|MS|TUNG|NOS|
162|F|1950s: a television repairman at work on a set|he pulls a tube|MS|TUNG|NOS|prelinger:television repair;prelinger:television servicing
163|B|1960s: a repairman with the back off a television, pulling vacuum tubes to test them|he pulls a glowing tube|CU|TUNG|NOS|
164|C|1960s: a family cheering as the television picture comes back, children on the rug|the kids clap|WS|TUNG|NOS|
165|P|a small television repair shop storefront|slow push-in|WS|DAY|NOS|loc:television repair shop;nara:television repair
166|B|1960s: the inside of a small repair shop, the counter piled with tubes and chassis, shelves of sets waiting|slow pan|WS|TUNG|NOS|
167|C|1960s: a repair shop owner behind his counter greeting a customer carrying a radio|he takes the radio|MS|TUNG|NOS|
168|C|1960s: Main Street shopkeepers waving to the repairman as he walks by with his tool case|they wave|WS|DAY|PRIDE|
169|G|Cream graph-paper board, labels slide in EXPENSIVE → WORTH FIXING beside a cut-out TV|labels slide in|TOP|||
170|C|1960s: a repairman's truck parked in front of his own small house, kids playing on the lawn|slow push-in|WS|DAY|PRIDE|
171|F|close view of transistors and circuit boards|circuits in close-up|CU|FLUOR|COLD|prelinger:transistor;prelinger:electronics
172|G|Cream graph-paper board, map with arrows drawing from overseas into the United States, label CHEAP SETS|arrows draw|TOP|||
173|R|1970s: a discount store aisle stacked with plain boxed television sets, a shopper lifting one|a shopper lifts a box|MS|FLUOR|COLD|
174|S|an old television left on a curb|slow push-in|MS|DAY|STARK|pexels:old tv trash;pexels:abandoned television
175|S|a closed and empty small shop storefront|slow push-in|WS|OVC|STARK|pexels:closed shop;pexels:empty storefront
176|B|1970s: an old repairman locking the door of his shop for the last time|he turns the key|BACK|DUSK|GRIEF|
177|B|1960s: a workbench with a soldering iron, tubes and tools left untouched under a dusty lamp|slow push-in|CU|TUNG|GRIEF|
178|G|Grey graph-paper board, giant semi-transparent #17, curved label SWITCHBOARD OPERATOR arcing over a cut-out operator headset|number slams in, headset slides in|TOP|||
179|C|1950s: a woman lifting a candlestick telephone in a farmhouse kitchen|she lifts the receiver|MS|WIN|NOS|
180|P|a telephone operator at a switchboard wearing a headset|slow push-in|MS|FLUOR|NOS|loc:telephone operator;loc:switchboard operators
181|F|a long room of switchboard operators at work|operators plug in cords|WS|FLUOR|NOS|prelinger:telephone operators;prelinger:switchboard
182|P|rows of switchboard operators in a telephone exchange|slow pan|WS|FLUOR|NOS|loc:telephone exchange operators;nara:telephone operators
183|B|1950s: an operator's hands plugging cords into a jack panel at speed|her hands plug cords|CU|FLUOR|NOS|
184|B|1950s: an operator seen from behind in front of a vast switchboard glowing with small lights|she reaches up to a jack|OTS|FLUOR|NOS|
185|G|Cream graph-paper board, counter HUNDREDS OF THOUSANDS beside a headset icon|counter rolls|TOP|||
186|C|1950s: a young widow in a cardigan walking her two children to school before her shift|she holds their hands|BACK|DAWN|HOPE|
187|B|1950s: rows of women operators in headsets on a break, sharing coffee and laughing|they laugh together|MS|FLUOR|NOS|
188|C|1950s: an operator receiving her pay envelope from a supervisor|she opens the envelope|MS|FLUOR|PRIDE|
189|P|a small-town telephone switchboard and its operator|slow push-in|MS|WIN|NOS|fsa:telephone operator small town;fsa:switchboard
190|B|1950s: a small-town night operator leaning into her switchboard, urgent, a fire glow visible through the window|she plugs a line fast|MS|NIGHT|TENSE|
191|G|Grey graph-paper board, label 1951 · ENGLEWOOD, NJ arcing over a cut-out rotary dial|the dial spins|TOP|||
192|F|1950s: a finger dialing a rotary telephone|the finger dials|CU|TUNG|NOS|prelinger:direct distance dialing;prelinger:dial telephone
193|G|Cream graph-paper board, a map line drawing from New Jersey to California|line draws across the map|TOP|||
194|F|automatic switching equipment clattering in a telephone exchange|relays click|CU|FLUOR|COLD|prelinger:crossbar switching;prelinger:telephone exchange
195|G|Cream graph-paper board, label 1983 · BRYANT POND, MAINE over a pinned photo of a small Maine village|label arcs in|TOP|||
196|B|1980s: an old hand-crank switchboard in a small-town front room, the operator's chair empty|slow push-in|MS|WIN|GRIEF|
197|B|1960s: a telephone receiver left off the hook on a kitchen table|slow push-in|CU|TUNG|QUIET|
198|G|Cream graph-paper board, label PATTERN BREAK #1, four pinned photos slide in: elevator, projector, switchboard, television|photos pin in one by one|TOP|||
199|P|a proud worker portrait|slow push-in|MS|DAY|PRIDE|fsa:worker portrait;fsa:factory worker
200|B|1950s: a switchboard operator at her board, backlit, seen from behind|she works steadily|OTS|FLUOR|PRIDE|
201|C|1960s: a television repairman finishing a job, wiping his hands on a rag|he wipes his hands|MS|TUNG|PRIDE|
202|F|1960s: automated machinery running with no workers|machines move on their own|MS|FLUOR|COLD|prelinger:automation;prelinger:automation factory
203|G|Cream graph-paper board, three crossed-out stamps NO PAYCHECK • NO PENSION • NO DAY OFF|stamps thump down|TOP|||
204|R|1960s: a man in a hat standing alone in an empty office corridor|he turns his head slightly|BACK|FLUOR|QUIET|
205|C|1960s: a housewife pressing an automatic elevator button in a modern lobby|she presses the button|CU|FLUOR|NOS|
206|F|1960s: a finger pressing buttons on a new push-button telephone|the finger presses the buttons|CU|TUNG|NOS|prelinger:touch-tone telephone;prelinger:push button telephone
207|C|1970s: a family carrying a new boxed television out of a discount store to their car|they load it into the trunk|WS|DAY|NOS|
208|P|shoppers crowding a store in the 1960s|slow push-in|WS|DAY|NOS|nara:shoppers 1960s;loc:shoppers
209|B|1950s: a dim hallway where an elevator operator stands alone beside his car|he stands still|MS|TUNG|GRIEF|
210|B|1950s: the silhouette of a worker standing in a doorway, bright light behind him|he steps out of frame|BACK|DAY|GRIEF|
211|G|Cream graph-paper board, a small town map with four pins removed one by one|pins pop off|TOP|||
212|P|an aerial view of a factory neighborhood|slow pan|AER|DAY|PRIDE|loc:factory town aerial;fsa:mill town
213|F|industrial stamping presses pounding|the press stamps|CU|FLUOR|COLD|prelinger:stamping press;prelinger:machines
214|G|Grey graph-paper board, giant semi-transparent #16, curved label MILKMAN arcing over a cut-out glass milk bottle|number slams in, bottle slides in|TOP|||
215|G|Cream graph-paper board, a pie chart filling to one third, label 1 IN 3 QUARTS · 1963|pie fills|TOP|||
216|F|1950s: a milk delivery truck driving through town at dawn|the truck moves down the street|WS|DAWN|NOS|prelinger:milk delivery;prelinger:milkman
217|C|1960s: a white milk delivery truck creeping down a quiet suburban street at dawn, porch lights still on|the truck rolls slowly|WS|DAWN|NOS|
218|B|1960s: a milkman in a white uniform and cap setting glass bottles on a front porch and collecting the empties|he sets the bottles down|MS|DAWN|NOS|
219|P|a milkman delivering to a house|slow push-in|MS|DAWN|NOS|fsa:milkman;loc:milk delivery
220|C|1960s: a folded note tucked into an empty milk bottle on a porch step, no readable words|slow push-in|CU|DAWN|NOS|
221|C|1960s: a milkman chatting with a young mother holding a baby at her screen door|he smiles|MS|DAWN|NOS|
222|B|1960s: a milkman removing his cap at the door of a house with a mourning wreath|he bows his head|MS|DAWN|GRIEF|
223|F|children running after an ice or milk truck in summer|the kids run|WS|DAY|NOS|prelinger:ice truck;prelinger:children summer
224|P|a milk truck driver with his truck|slow push-in|MS|DAY|PRIDE|loc:milk truck driver;fsa:milk truck
225|G|Cream graph-paper board, label WAGE + COMMISSION arcing over a pinned milkman photo|label slides in|TOP|||
226|C|1960s: a milkman, his wife and three kids on the steps of their own small house, sedan out front|the kids wave|WS|DAY|PRIDE|
227|F|1950s: supermarket aisles full of shoppers pushing carts|shoppers push carts|WS|FLUOR|NOS|prelinger:supermarket 1950s;prelinger:grocery store
228|B|1960s: a supermarket dairy case stacked with paper milk cartons and plastic jugs, no labels|a hand pulls out a carton|CU|FLUOR|COLD|
229|C|1960s: a mother loading milk cartons into a new refrigerator in her kitchen|she closes the fridge door|MS|TUNG|NOS|
